,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,location_t,parent_sta,wheelchair,Route,Route_Dir,Shelter,Bench,Schedule,Light,Reaitime,PK_MD_WE,jurisdicti,relative_p,cardinal_d,primary_st,address_ra,cross_loca,geometry
16,12808,7100,7100,East Transfer Point,This stop (#7100) is on the pedestrian island at the East Transfer Point station,43.098619,-89.322148,MMT,0,7000.0,1,"5, 7, 15, 16, 17, 30, 31, 32, 33, 39",,1,0,1,1,1,111,MTSM,5,,East Transfer Point,102,W Corporate,POINT (-89.32214715037631 43.09862145183139)
17,12809,9000,9800,East Towne Mall,The East Towne Mall station is located eastbound at 89 E Towne Mall - just southeast of E Towne Blvd and Independence Ln,43.126161,-89.307135,MMT,1,,1,None,,0,0,0,0,0,000,PRIV,5,90.0,East Towne Mall,89,E Towne,POINT (-89.3071340897954 43.12616349475542)
18,12810,9800,9800,E Towne Mall & Shelter (EB),This stop (#9800) is eastbound on the pedestrian island at East Towne Mall,43.126576,-89.306961,MMT,0,9000.0,1,"6, 20, 26, 30, 36",,1,0,1,1,0,111,PRIV,5,90.0,East Towne Mall,89,E Towne,POINT (-89.30696008930165 43.12657849584642)
19,12811,5,0005,W Dayton & N Orchard (EB),This stop (#0005) is eastbound on the 1299 block of Dayton St (W) farside Orchard St (N),43.070947,-89.406982,MMT,0,,1,80,,0,0,0,0,0,111,CMAD,1,90.0,W Dayton,1299,N Orchard,POINT (-89.40698120869476 43.070949334561)
20,12812,10,0010,Langdon & N Park (WB),This stop (#0010) is westbound on the 898 block of Langdon St nearside Park St (N),43.075933,-89.400154,MMT,0,,1,"80, 82",,1,0,1,0,0,111,CMAD,3,270.0,Langdon,898,N Park,POINT (-89.40015319494945 43.07593534470809)
21,12813,25,0025,Langdon & N Lake (EB),This stop (#0025) is eastbound on the 699 block of Langdon St farside Lake St (N),43.075691,-89.396944,MMT,0,,1,81,,0,0,0,0,0,001,CMAD,1,90.0,Langdon,699,N Lake,POINT (-89.39694319619166 43.07569334792302)
22,12814,39,0039,N Lake & W Johnson (NB),This stop (#0039) is northbound on the 299 block of Lake St (N) nearside Johnson St (W),43.071895,-89.397341,MMT,0,,1,"80, 82",,1,0,1,0,0,111,CMAD,3,0.0,N Lake,299,W Johnson,POINT (-89.39734020732217 43.07189734566063)
23,12815,43,0043,W Dayton & N Lake (EB),This stop (#0043) is eastbound on the 701 block of Dayton St (W) nearside Lake St (N),43.070811,-89.397884,MMT,0,,1,"80, 82",,0,0,0,0,0,111,CMAD,3,90.0,W Dayton,701,N Lake,POINT (-89.39788320930698 43.07081334426636)
24,12816,45,0045,Langdon & Wisconsin (EB),This stop (#0045) is eastbound on the 1 block of Langdon St nearside Wisconsin Ave,43.078482,-89.38982,MMT,0,,1,81,,0,0,0,0,0,001,CMAD,3,90.0,Langdon,1,Wisconsin,POINT (-89.38981918894176 43.07848435708687)
25,12817,47,0047,Babcock & Linden (NB),This stop (#0047) is northbound on the 499 block of Babcock Dr nearside Linden Dr,43.074636,-89.412598,MMT,0,,1,27,,0,0,0,0,0,100,UWIS,3,0.0,Babcock,499,Linden,POINT (-89.41259719727316 43.07463832975599)
26,12818,49,0049,N Lake & Langdon (NB),This stop (#0049) is northbound on the 599 block of Lake St (N) nearside Langdon St,43.075529,-89.397191,MMT,0,,1,"80, 82",,0,0,0,0,0,111,CMAD,3,0.0,N Lake,599,Langdon,POINT (-89.39719019660592 43.07553134778438)
27,12819,52,0052,Observatory & N Charter (WB),This stop (#0052) is westbound on the 1198 block of Observatory Dr nearside Charter St (N),43.076131,-89.40566,MMT,0,,1,"80, 82",,1,0,1,0,0,111,UWIS,3,270.0,Observatory,1198,N Charter,POINT (-89.40565919380101 43.07613333769467)
28,12820,56,0056,Observatory & Liz Waters (WB),This stop (#0056) is westbound on the 1300 block of Observatory Dr adjacent Elizabeth Waters Hall,43.07665,-89.407141,MMT,0,,1,82,,0,1,0,0,0,001,UWIS,2,270.0,Observatory,1300,Liz Waters,POINT (-89.40714019279784 43.07665233599617)
29,12821,60,0060,Observatory & Bascom (WB),This stop (#0060) is westbound on the 1100 block of Observatory Dr adjacent Bascom Hall,43.075996,-89.40366,MMT,0,,1,"80, 82",,1,0,1,0,0,111,UWIS,2,270.0,Observatory,1100,Bascom,POINT (-89.40365919434657 43.07599834056292)
30,12822,61,0061,W Dayton & N Mills (EB),This stop (#0061) is eastbound on the 1099 block of Dayton St (W) farside Mills St (N),43.070893,-89.403698,MMT,0,,1,80,,0,0,0,0,0,111,CMAD,1,90.0,W Dayton,1099,N Mills,POINT (-89.40369720923144 43.07089533774622)
31,12823,68,0068,N Lake & W Johnson (SB),This stop (#0068) is southbound on the 300 block of Lake St (N) nearside Johnson St (W),43.072172,-89.397625,MMT,0,,1,81,,0,0,0,0,0,001,CMAD,3,180.0,N Lake,300,W Johnson,POINT (-89.39762420606101 43.07217434541639)
32,12824,75,0075,W Dayton & N Park (EB),This stop (#0075) is eastbound on the 899 block of Dayton St (W) farside Park St (N),43.070839,-89.40002,MMT,0,,1,"80, 82",,0,0,0,0,0,111,CMAD,1,90.0,W Dayton,899,N Park,POINT (-89.40001920959641 43.07084134240272)
33,12825,87,0087,N Broom & W Gorham (NB),This stop (#0087) is northbound on the 399 block of Broom St (N) nearside Gorham St (W),43.07415,-89.392328,MMT,0,,1,"10, 11, 81",,0,0,0,0,0,111,CMAD,3,0.0,N Broom,399,W Gorham,POINT (-89.3923272009918 43.07415235262939)
34,12826,89,0089,Langdon & N Henry (EB),This stop (#0089) is eastbound on the 199 block of Langdon St farside Henry St (N),43.076844,-89.392142,MMT,0,,1,81,,0,0,0,0,0,001,CMAD,1,90.0,Langdon,199,N Henry,POINT (-89.3921411939949 43.07684635335079)
35,12827,96,0096,Wisconsin & W Gorham (SB),This stop (#0096) is southbound on the 400 block of Wisconsin Ave nearside Gorham St (W),43.077515,-89.388055,MMT,0,,0,81,,0,0,0,0,0,001,CMAD,3,180.0,Wisconsin,400,W Gorham,POINT (-89.3880541922412 43.07751735925113)
36,12828,99,0099,Langdon & N Park (EB),This stop (#0099) is eastbound on the 899 block of Langdon St farside Park St (N),43.075745,-89.400179,MMT,0,,1,81,,0,0,0,0,0,001,CMAD,1,90.0,Langdon,899,N Park,POINT (-89.40017819609405 43.07574734417781)
37,12829,100,0100,University & N Park (WB),This stop (#0100) is westbound on the 900 block of University Ave farside Park St (N),43.073399,-89.401365,MMT,0,,1,"2, 4, 7, 8, 10, 11, 12, 13, 15, 27, 48, 70, 72",,1,0,1,0,0,111,CMAD,1,270.0,University,900,N Park,POINT (-89.4013642019561 43.07340134121569)
38,12830,104,0104,N Mills & W Dayton (SB),This stop (#0104) is southbound on the 200 block of Mills St (N) nearside Dayton St (W),43.071144,-89.404229,MMT,0,,1,"4, 27, 44",,1,0,1,0,0,111,CMAD,3,180.0,N Mills,200,W Dayton,POINT (-89.40422820829102 43.07114633721965)
39,12831,107,0107,S Park & W Olin (NB),This stop (#0107) is northbound on the 1117 block of Park St (S) farside Olin Ave (W),43.054383,-89.396533,MMT,0,,1,"5, 13, 44",,0,1,0,0,0,111,CMAD,1,0.0,S Park,1117,W Olin,POINT (-89.39653225520469 43.05438533843256)
40,12832,110,0110,Gilson & Beld (WB),This stop (#0110) is westbound on the 1698 block of Gilson St nearside Beld St,43.049924,-89.392561,MMT,0,,0,44,,0,0,0,0,0,100,CMAD,3,270.0,Gilson,1698,Beld,POINT (-89.39256026710103 43.04992634084061)
41,12833,113,0113,W Washington & Brittingham (EB),This stop (#0113) is eastbound on the 801 block of W Washington Ave adjacent Brittingham Park,43.06501,-89.397603,MMT,0,,1,5,,1,0,1,0,0,111,CMAD,2,90.0,W Washington,801,Brittingham,POINT (-89.39760222605317 43.06501234271396)
42,12834,115,0115,N Park & Regent (NB),This stop (#0115) is northbound on the 21 block of Park St (N) farside Regent St,43.067983,-89.400724,MMT,0,,1,"6, 13, 82",,1,0,1,0,0,111,CMAD,1,0.0,N Park,21,Regent,POINT (-89.40072321775661 43.06798534011857)
43,12835,121,0121,W Badger & Fiedler (EB),This stop (#0121) is eastbound on the 1099 block of Badger Rd (W) farside Fiedler Ln,43.038466,-89.401117,MMT,0,,1,"4, 18, 40",,0,0,0,0,0,111,TMAD,1,90.0,W Badger,1099,Fiedler,POINT (-89.40111629897828 43.03846832728212)
44,12836,124,0124,S Park & Wingra (SB),This stop (#0124) is southbound on the 1700 block of Park St (S) farside Wingra Dr (W),43.048957,-89.394289,MMT,0,,1,"5, 44",,0,0,1,0,0,111,CMAD,1,180.0,S Park,1700,Wingra,POINT (-89.39428827069199 43.04895933860665)
45,12837,133,0133,University & N Breese (EB),This stop (#0133) is eastbound on the 1599 block of University Ave farside Breese Ter (N),43.073275,-89.413154,MMT,0,,1,"2, 10, 12, 48",,1,0,1,0,0,111,CMAD,1,90.0,University,1599,N Breese,POINT (-89.41315320114077 43.07327732819645)
46,12838,146,0146,Fish Hatchery & Midland (SB),This stop (#0146) is southbound on the 1200 block of Fish Hatchery Rd farside Midland St,43.053981,-89.399186,MMT,0,,1,4,,0,0,0,0,0,111,CMAD,1,180.0,Fish Hatchery,1200,Midland,POINT (-89.39918525664156 43.05398333562781)
47,12839,147,0147,W Olin & Hickory (EB),This stop (#0147) is eastbound on the 599 block of Olin Ave (W) farside Hickory St,43.053872,-89.391782,MMT,0,,1,"13, 44",,0,0,1,0,0,111,CMAD,1,90.0,W Olin,599,Hickory,POINT (-89.39178125725695 43.05387434325657)
48,12840,150,0150,N Rusk & Nygard (SB),This stop (#0150) is southbound on the 2198 block of Rusk Ave (N) nearside Nygard St,43.041193,-89.384359,MMT,0,,1,13,,0,0,0,0,0,111,CMAD,3,180.0,N Rusk,2198,Nygard,POINT (-89.38435829072066 43.04119534549501)
49,12841,153,0153,E Olin & Expo (EB),This stop (#0153) is eastbound on the 199 block of Olin Ave (E) farside Expo Pkwy,43.052132,-89.38075,MMT,0,,1,13,,0,0,0,0,0,111,TMAD,1,90.0,E Olin,199,Expo,POINT (-89.38074926201671 43.05213435403046)
50,12842,158,0158,S Mills & Vilas (SB),This stop (#0158) is southbound on the 400 block of Mills St (S) farside Vilas Ave,43.062871,-89.404194,MMT,0,,1,"4, 44",,0,0,0,0,0,111,CMAD,1,180.0,S Mills,400,Vilas,POINT (-89.40419323184902 43.06287333396737)
51,12843,160,0160,University & N Randall (WB),This stop (#0160) is westbound on the 1400 block of University Ave farside Randall Ave (N),43.073481,-89.409413,MMT,0,,1,"2, 8, 10, 12, 15, 27, 48, 70, 72",,1,0,1,0,0,111,CMAD,1,270.0,University,1400,N Randall,POINT (-89.40941220169412 43.07348333257609)
52,12844,161,0161,S Broom & W Doty (NB),This stop (#0161) is northbound on the 199 block of Broom St (S) farside Doty St (W),43.070146,-89.387071,MMT,0,,1,"10, 11, 81",,0,1,1,0,0,111,CMAD,1,0.0,S Broom,199,W Doty,POINT (-89.38707021271719 43.0701483567923)
53,12845,162,0162,S Park & Meriter (SB),This stop (#0162) is southbound on the 100 block of Park St (S) adjacent Meriter Hospital,43.065091,-89.400997,MMT,0,,1,"13, 48",,0,0,0,0,0,111,CMAD,2,180.0,S Park,100,Meriter,POINT (-89.40099622514184 43.06509333887435)
54,12846,166,0166,Rimrock & John Nolen (WB),This stop (#0166) is westbound on the 2000 block of Rimrock Rd farside John Nolen Dr,43.045854,-89.375546,MMT,0,,1,"11, 13",,0,0,1,0,0,111,TMAD,1,270.0,Rimrock,2000,John Nolen,POINT (-89.37554527879502 43.04585635626276)
55,12847,167,0167,S Mills & Mound (NB),This stop (#0167) is northbound on the 201 block of Mills St (S) nearside Mound St,43.065181,-89.403898,MMT,0,,1,"4, 44",,1,0,1,0,0,111,CMAD,3,0.0,S Mills,201,Mound,POINT (-89.40389722564409 43.0651833356218)
56,12848,168,0168,W Washington & N Henry (WB),This stop (#0168) is westbound on the 298 block of W Washington Ave nearside Henry St (N),43.072787,-89.38707,MMT,0,,1,"5, 27, 75",,0,0,0,0,0,111,CMAD,3,270.0,W Washington,298,N Henry,POINT (-89.38706920536217 43.07278935751519)
57,12849,170,0170,Fish Hatchery & Catalpa (SB),This stop (#0170) is southbound on the 2198 block of Fish Hatchery Rd nearside Catalpa Rd,43.041645,-89.404114,MMT,0,,1,4,,0,0,0,0,0,111,CMAD,3,180.0,Fish Hatchery,2198,Catalpa,POINT (-89.40411329170102 43.0416473250501)
58,12850,171,0171,Fisher & Dane (NB),This stop (#0171) is northbound on the 2101 block of Fisher St nearside Dane St,43.042923,-89.39175,MMT,0,,1,13,,1,0,1,0,0,111,CMAD,3,0.0,Fisher,2101,Dane,POINT (-89.3917492867691 43.04292533825106)
59,12851,173,0173,W Badger & Cypress (EB),This stop (#0173) is eastbound on the 901 block of Badger Rd (W) nearside Cypress Way,43.03843,-89.397946,MMT,0,,1,"4, 18, 40",,0,0,0,0,0,111,TMAD,3,90.0,W Badger,901,Cypress,POINT (-89.39794530000273 43.0384323302753)
60,12852,174,0174,S Park & Fish Hatchery (SB),This stop (#0174) is southbound on the 1000 block of Park St (S) farside Fish Hatchery Rd,43.056451,-89.398716,MMT,0,,1,"5, 13, 44",,0,0,1,0,0,111,CMAD,1,180.0,S Park,1000,Fish Hatchery,POINT (-89.39871524900161 43.05645333761299)
61,12853,178,0178,University & N Orchard (WB),This stop (#0178) is westbound on the 1300 block of University Ave farside Orchard St (N),43.073427,-89.407056,MMT,0,,1,"2, 7, 8, 10, 12, 15, 27, 48, 70, 72",,1,0,1,0,0,111,CMAD,1,270.0,University,1300,N Orchard,POINT (-89.40705520111278 43.07342933565982)
62,12854,180,0180,N Park & W Dayton (SB),This stop (#0180) is southbound on the 200 block of Park St (N) nearside Dayton St (W),43.071098,-89.401081,MMT,0,,1,"6, 13, 48",,0,0,0,0,0,111,CMAD,3,180.0,N Park,200,W Dayton,POINT (-89.40108020886534 43.07110034090218)
63,12855,181,0181,S Park & Beld (NB),This stop (#0181) is northbound on the 1399 block of Park St (S) farside Beld St,43.052252,-89.394806,MMT,0,,1,"5, 48",,1,0,1,0,0,111,CMAD,1,0.0,S Park,1399,Beld,POINT (-89.39480526198703 43.05225433947476)
64,12856,184,0184,Linden & Henry (WB),This stop (#0184) is westbound on the 1498 block of Linden Dr nearside Henry Mall,43.075254,-89.410413,MMT,0,,1,"11, 44, 80",,1,0,1,0,0,111,UWIS,3,270.0,Linden,1498,Henry,POINT (-89.4104121959013 43.07525633156769)
65,12857,192,0192,W Olin & Hickory (WB),This stop (#0192) is westbound on the 598 block of Olin Ave (W) nearside Hickory St,43.054087,-89.391967,MMT,0,,1,"13, 44",,1,0,1,0,0,111,CMAD,3,270.0,W Olin,598,Hickory,POINT (-89.39196625621234 43.05408934395596)
66,12858,195,0195,S Park & Park House (NB),This stop (#0195) is northbound on the 1801 block of Park St (S) adjacent Park House,43.04705,-89.393808,MMT,0,,0,"5, 44",,0,0,0,0,0,111,CMAD,2,0.0,S Park,1801,Park House,POINT (-89.39380727583922 43.04705233783918)
67,12859,196,0196,S Mills & Regent (SB),This stop (#0196) is southbound on the 2 block of Mills St (S) farside Regent St,43.067446,-89.404206,MMT,0,,1,"4, 44",,0,0,0,0,0,111,CMAD,1,180.0,S Mills,2,Regent,POINT (-89.40420521892312 43.06744833564269)
68,12860,203,0203,Rimrock & E Rusk (NB),This stop (#0203) is northbound on the 2199 block of Rimrock Rd farside Rusk Ave (E),43.043214,-89.376979,MMT,0,,1,"11, 13",,1,0,1,0,0,111,TMAD,1,0.0,Rimrock,2199,E Rusk,POINT (-89.37697828495959 43.04321635377611)
69,12861,208,0208,Regent & N Orchard (WB),This stop (#0208) is westbound on the 1298 block of Regent St nearside Orchard St (N),43.067849,-89.407131,MMT,0,,1,6,,0,0,0,0,0,111,CMAD,3,270.0,Regent,1298,N Orchard,POINT (-89.40713021768653 43.06785133277891)
70,12862,217,0217,S Park & W Washington (NB),This stop (#0217) is northbound on the 399 block of Park St (S) farside W Washington Ave,43.063668,-89.400528,MMT,0,,1,13,,0,0,1,0,0,111,CMAD,1,0.0,S Park,399,W Washington,POINT (-89.40052722982972 43.06367033862087)
71,12863,222,0222,Fisher & Bram (SB),This stop (#0222) is southbound on the 1900 block of Fisher St farside Bram St,43.045474,-89.391946,MMT,0,,1,13,,0,0,0,0,0,111,CMAD,1,180.0,Fisher,1900,Bram,POINT (-89.39194527961155 43.04547633930811)
72,12864,225,0225,W Washington & Park View (EB),This stop (#0225) is eastbound on the 749 block of W Washington Ave adjacent Park View,43.066066,-89.396121,MMT,0,,1,5,,0,0,0,0,0,111,CMAD,2,90.0,W Washington,749,Park View,POINT (-89.39612022346746 43.06606834474496)
73,12865,226,0226,Regent & W Washington (WB),This stop (#0226) is westbound on the 600 block of Regent St farside W Washington Ave,43.067839,-89.397688,MMT,0,,0,27,,0,0,0,0,0,100,CMAD,1,270.0,Regent,600,W Washington,POINT (-89.39768721832456 43.06784134312709)
74,12866,234,0234,University & N Mills (WB),This stop (#0234) is westbound on the 1098 block of University Ave nearside Mills St (N),43.073427,-89.403883,MMT,0,,1,"2, 7, 8, 10, 11, 12, 15, 27, 48, 70, 72",,0,0,1,0,0,111,CMAD,3,270.0,University,1098,N Mills,POINT (-89.40388220273438 43.07342933894894)
75,12867,235,0235,W Washington & S Henry (EB),This stop (#0235) is eastbound on the 301 block of W Washington Ave nearside Henry St (S),43.072456,-89.387144,MMT,0,,1,"5, 27, 75",,1,0,1,0,0,111,CMAD,3,90.0,W Washington,301,S Henry,POINT (-89.38714320598095 43.07245835751415)
76,12868,241,0241,Monroe & S Breese (EB),This stop (#0241) is eastbound on the 1615 block of Monroe St opposite Breese Ter (S),43.066919,-89.413883,MMT,0,,1,7,,0,0,1,0,0,111,CMAD,4,90.0,Monroe,1615,S Breese,POINT (-89.41388221865783 43.06692132493067)
77,12869,243,0243,John Nolen & Rimrock (NB),This stop (#0243) is northbound on the 698 block of John Nolen Dr farside Rimrock Rd,43.047242,-89.374681,MMT,0,,1,"11, 12, 13",,1,0,1,0,0,111,CMAD,1,0.0,John Nolen,698,Rimrock,POINT (-89.37468027500263 43.0472443583164)
78,12870,245,0245,N Randall & Engineering (NB),This stop (#0245) is northbound on the 299 block of Randall Ave (N) nearside Engineering Dr,43.072093,-89.40887,MMT,0,,1,7,,0,0,0,0,0,111,CMAD,3,0.0,N Randall,299,Engineering,POINT (-89.40886920540557 43.07209533299812)
79,12871,248,0248,W Wilson & S Carroll (WB),This stop (#0248) is westbound on the 98 block of Wilson St (W) nearside Carroll St (S),43.071891,-89.382453,MMT,0,,1,12,,0,0,0,0,0,100,CMAD,3,270.0,W Wilson,98,S Carroll,POINT (-89.38245220853291 43.07189336298369)
80,12872,251,0251,S Park & Erin (NB),This stop (#0251) is northbound on the 699 block of Park St (S) farside Erin St,43.060167,-89.40053,MMT,0,,1,"5, 13, 48, 75",,0,0,1,0,0,111,CMAD,1,0.0,S Park,699,Erin,POINT (-89.40052923889316 43.06016933670004)
81,12873,252,0252,State & W Gorham (WB),This stop (#0252) is westbound on the 398 block of State St nearside Gorham St (W),43.07491,-89.391303,MMT,0,,1,"2, 4, 6, 7, 8, 12, 15, 70, 72",,1,0,1,1,0,111,CMAD,3,270.0,State,398,W Gorham,POINT (-89.39130219992784 43.07491235371035)
82,12874,256,0256,N Mills & University (SB),This stop (#0256) is southbound on the 398 block of Mills St (N) farside University Ave,43.073051,-89.404241,MMT,0,,1,"4, 13",,0,0,0,0,0,111,CMAD,1,180.0,N Mills,398,University,POINT (-89.40424020302423 43.07305333825267)
83,12875,265,0265,State & N Lake (EB),This stop (#0265) is eastbound on the 699 block of State St farside Lake St (N),43.074786,-89.396908,MMT,0,,1,"4, 6",,1,0,1,1,0,111,CMAD,1,90.0,State,699,N Lake,POINT (-89.39690719898297 43.07478834714812)
84,12876,266,0266,Fish Hatchery & S Park (SB),This stop (#0266) is southbound on the 1000 block of Fish Hatchery Rd farside Park St (S),43.056496,-89.399124,MMT,0,,1,4,,0,0,1,0,0,111,CMAD,1,180.0,Fish Hatchery,1000,S Park,POINT (-89.39912324913566 43.056498336697)
85,12877,271,0271,Regent & S Park (EB),This stop (#0271) is eastbound on the 899 block of Regent St farside Park St (S),43.067544,-89.40049,MMT,0,,0,27,,0,0,0,0,0,100,CMAD,1,90.0,Regent,899,S Park,POINT (-89.40048921921118 43.06754633973967)
86,12878,273,0273,Regent & W Washington (EB),This stop (#0273) is eastbound on the 601 block of Regent St nearside W Washington Ave,43.067427,-89.397231,MMT,0,,0,27,,0,0,0,0,0,100,CMAD,3,90.0,Regent,601,W Washington,POINT (-89.39723021892677 43.06742934430486)
87,12879,274,0274,W Washington & N Broom (WB),This stop (#0274) is westbound on the 400 block of W Washington Ave farside Broom St (N),43.071248,-89.389243,MMT,0,,1,"5, 27, 75",,1,0,1,0,0,111,CMAD,1,270.0,W Washington,400,N Broom,POINT (-89.38924220910533 43.0712503540495)
88,12880,288,0288,S Park & Erin (SB),This stop (#0288) is southbound on the 700 block of Park St (S) farside Erin St,43.059621,-89.400999,MMT,0,,1,"4, 5, 13, 44, 48, 75",,1,0,1,0,0,111,CMAD,1,180.0,S Park,700,Erin,POINT (-89.40099824141292 43.05962333631664)
89,12881,289,0289,W Olin & Gilson (EB),This stop (#0289) is eastbound on the 499 block of Olin Ave (W) farside Gilson St,43.053844,-89.389869,MMT,0,,0,13,,0,0,0,0,0,111,CMAD,1,90.0,W Olin,499,Gilson,POINT (-89.38986825707079 43.05384634527687)
90,12882,294,0294,N Rusk & E Rusk (SB),This stop (#0294) is southbound on the 2398 block of Rusk Ave (N) nearside Rusk Ave (E),43.039304,-89.38436,MMT,0,,0,13,,0,0,1,0,0,111,TMAD,3,180.0,N Rusk,2398,E Rusk,POINT (-89.38435929580899 43.0393063443378)
91,12883,298,0298,Babcock & Linden (SB),This stop (#0298) is southbound on the 500 block of Babcock Dr nearside Linden Dr,43.07529,-89.412894,MMT,0,,1,"11, 44, 80",,0,0,0,0,0,111,UWIS,3,180.0,Babcock,500,Linden,POINT (-89.4128931959045 43.07529232895223)
92,12884,300,0300,Erin & S Mills (WB),This stop (#0300) is westbound on the 1098 block of Erin St nearside Mills St (S),43.059989,-89.40385,MMT,0,,1,"4, 44",,0,0,1,0,0,111,CMAD,3,270.0,Erin,1098,S Mills,POINT (-89.40384923880862 43.05999133335908)
